24,20,12,9,1,2,16,11,3,4,5,6,7,8,10,13,14,15,17,18,19,21,22,23,25,26,27,28,29,30,31,32
23,22,27,13,25,4,21,14,5,16,9,8,10,3,17,30,20,11,28,7,31,26,24,2,19,15,29,12,18,1,32,6
5,22,23,25,27,3,4,17,2,12,21,24,30,7,8,9,13,26,28,29,31,1,6,11,14,15,16,18,19,20,32,10
21,9,25,2,10,18,19,27,8,29,5,14,15,28,31,12,22,23,26,7,16,30,1,13,24,32,3,4,17,20,11,6
20,4,23,5,3,27,22,12,21,25,7,11,13,24,30,31,1,6,9,29,2,14,17,32,8,15,26,10,28,19,18,16
26,31,17,3,27,29,10,7,14,15,18,22,1,13,8,12,19,25,28,30,2,11,32,9,4,20,24,5,21,23,16,6
22,25,27,23,21,5,7,30,31,32,17,29,28,13,1,8,14,24,2,12,26,19,18,9,6,4,3,16,15,11,10,20
23,25,22,27,21,5,2,19,13,26,7,31,24,1,30,12,18,28,8,9,29,16,32,14,15,10,4,3,17,6,11,20
32,31,10,30,7,13,25,9,27,29,22,26,8,24,14,23,5,12,18,4,1,16,28,2,19,21,3,11,15,20,17,6
21,22,23,25,27,5,9,13,7,31,24,26,8,28,29,16,30,2,1,19,32,12,18,3,4,6,10,11,14,15,17,20
